city,address,new,rooms,square,floor,floors,price,Пермь,Березники,Оханск,Чайковский,д. Кондратово,остальные
Пермь,"р-н Индустриальный, мкр. Балатово, улица Танкистов, 111",0,2,196.35,4,4,7279000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1А",1,2,52.5,1,4,7318722.0,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Нижняя Курья, Оханская улица, 17",0,3,219.79,2,6,7347279.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, Краснова мкр, Красное яблоко ЖК",0,3,242.22,1,17,7320000.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Балатово, улица Танкистов, 111",0,2,197.35,4,4,7337000.0,1,0,0,0,0,0
д. Кондратово,"улица Артемьевская, 6",1,2,65.2,2,16,7430000.0,0,0,0,0,1,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак4",1,1,46.9,1,4,7413195.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, Шахтерская улица, 22",0,3,203.21,2,4,7420000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. ДКЖ, улица Татьяны Барамзиной, 32В",0,2,227.16,2,17,7402000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. ДКЖ, улица Татьяны Барамзиной, 32В",0,2,233.58,1,17,7403000.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. ДКЖ, улица Татьяны Барамзиной, 32В",0,2,228.75,2,17,7387200.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, улица Куйбышева, 135",0,3,254.46,3,25,7470000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак5",1,2,58.1,1,4,7560045.0,1,0,0,0,0,0
д. Кондратово,"улица Н.М. Яблокова, 1",1,3,72.0,8,14,7554571.0,0,0,0,0,1,0
Пермь,"р-н Кировский, мкр. Нижняя Курья, Оханская улица, 17",0,3,229.33,2,6,7598100.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Садовый, улица Юрша, 64",0,4,258.15,4,16,7630000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак5",1,2,57.1,1,4,7637967.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, Краснова мкр, Красное яблоко ЖК",0,3,265.83,5,14,7655000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак5",1,1,36.9,1,4,7749000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак3",1,2,58.1,4,4,7674917.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, улица Куйбышева, 135",0,3,260.81,10,25,7720000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, мкр. Островский, улица Революции, 2А",1,2,53.85,9,25,7727475.0,1,0,0,0,0,0
Пермь,"р-н Кировский, мкр. Нижняя Курья, Байкальская улица, 7А",0,3,248.51,2,7,7730000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1А",1,2,58.3,1,4,7827562.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Рабочий поселок, улица Металлистов, 18",0,2,215.9,2,10,7849720.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак3",1,2,56.8,1,4,7854469.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак6",1,2,58.4,1,4,7877842.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак4",1,2,58.2,1,4,7890767.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Ераничи, улица Советской Армии, 82",0,3,213.76,7,9,7891200.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. ДКЖ, Парковый проспект, 56",0,2,187.52,7,9,7990000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак5",1,2,61.3,2,4,7973729.0,1,0,0,0,0,0
